Champion,Role,Picks,Bans,Presence,Wins,Losses,Winrate,KDA,Avg Ban Turn,Game Time,CS per min,Damage per min,Gold per min,CSD@15,GD@15,XPD@15
Kassadin,,23,54,2,12,11,52%,4.6,5.6,32:44:00,8.8,587,425,-2.7,-144,67
Qiyana,,33,42,2,13,20,39%,2.7,3.6,33:31:00,6.5,444,371,-0.8,-54,62
Janna,,35,39,2,15,20,43%,3.7,6,34:26:00,0.7,82,230,-35.8,-858,-1117
Vayne,,52,22,2,22,30,42%,2.5,8.4,30:34:00,8.5,476,420,1.1,-139,-13
Evelynn,,14,54,2,10,4,71%,3.9,2.9,27:46:00,6,487,374,3.9,116,569
Ashe,,51,16,2,22,29,43%,4.2,6.6,32:09:00,8.4,479,403,-1.9,-39,-39
Cassiopeia,,36,28,2,15,21,42%,3,4.7,33:00:00,8.5,515,408,4.5,-101,-78
Soraka,,39,25,2,18,21,46%,3.7,4.6,29:30:00,3.7,170,277,-19.4,-627,-169
Shen,,37,21,2,16,21,43%,3.7,7.5,31:25:00,5.3,284,318,-15.3,-609,-220
Twitch,,36,19,1,20,16,56%,3.7,3.9,33:11:00,8.1,624,432,-12.8,-595,-103
Riven,,23,31,1,6,17,26%,1.7,3.8,32:11:00,8.2,330,394,-7.9,-393,-431
KhaZix,,18,35,1,12,6,67%,4,3.9,31:48:00,6,458,386,1.8,3,127
Zed,,30,22,1,19,11,63%,3.7,7.2,33:09:00,7.2,448,398,2.3,125,297
Ekko,,13,38,1,6,7,46%,2.7,5.1,28:17:00,8.2,501,433,6.8,795,392
Sejuani,,38,6,1,14,24,37%,2.5,4,30:04:00,5.7,307,332,-5.1,-158,-107
Dr. Mundo,,25,17,1,13,12,52%,2.7,8.6,33:31:00,7.5,555,363,-2.8,-153,-35
Bard,,30,9,1,17,13,57%,3.5,7.1,32:51:00,1,200,244,-17.6,-220,-325
Kindred,,25,14,1,15,10,60%,3.7,7.6,29:05:00,7.1,463,412,12.7,863,713
Vladimir,,26,10,1,12,14,46%,3,7.7,34:23:00,8,592,392,7.6,226,331
Ivern,,19,13,1,11,8,58%,3.8,4.6,29:03:00,5.1,191,302,-20.4,-924,-461
